title,link,publication_time,author,image_url,summary
Jadwal MotoGP San Marino 2025: Malam Ini Sprint Race,https://sport.detik.com/moto-gp/d-8109999/jadwal-motogp-san-marino-2025-malam-ini-sprint-race,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Luhut Respons 7 Desakan Ekonom Soal RI Darurat Ekonomi,https://finance.detik.com/berita-ekonomi-bisnis/d-8109997/luhut-respons-7-desakan-ekonom-soal-ri-darurat-ekonomi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Video: Kisah Warga Tinggal di Tengah Kebisingan Jalan Raya, Apa Dampaknya?",https://health.detik.com/detiktv/d-8110005/video-kisah-warga-tinggal-di-tengah-kebisingan-jalan-raya-apa-dampaknya,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2018/04/11/a38b97f1-74b8-4b9a-8c1f-0f3e260bad10_43.jpeg?w=250&q=90,Tidak ada ringkasan
Video Jokowi Sebut 3 Kali Dorong DPR Bahas RUU Perampasan Aset,https://www.detik.com/jateng/berita/d-8110008/video-jokowi-sebut-3-kali-dorong-dpr-bahas-ruu-perampasan-aset,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/12/jokowi-1757666693441_43.jpeg?w=250&q=90,Tidak ada ringkasan
"Video: Fakta Ledakan di Pamulang, Buat 7 Orang Terluka-8 Rumah Rusak",https://news.detik.com/detiktv/d-8110025/video-fakta-ledakan-di-pamulang-buat-7-orang-terluka-8-rumah-rusak,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/12/potret-rumah-di-jalan-talas-ii-pamulang-tangsel-porak-poranda-akibat-ledakan-1757655969379_43.jpeg?w=250&q=90,Tidak ada ringkasan
"Pemuda 22 Tahun di AS Bunuh Charlie Kirk, Psikis-Kepribadiannya Jadi Sorotan",https://health.detik.com/berita-detikhealth/d-8109935/pemuda-22-tahun-di-as-bunuh-charlie-kirk-psikis-kepribadiannya-jadi-sorotan,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/12/tampang-tyler-robinson-pembunuh-charlie-kirk-patrick-t-fallonafp-1757691020978_43.jpeg?w=250&q=90,Tidak ada ringkasan
Nana Mirdad Miris Sungai Depan Rumah Dipenuhi Sampah Usai Banjir Bali,https://hot.detik.com/celeb/d-8108959/nana-mirdad-miris-sungai-depan-rumah-dipenuhi-sampah-usai-banjir-bali,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/05/16/nana-mirdad-1747370430918_43.jpeg?w=250&q=90,Tidak ada ringkasan
ledakan di pamulang,https://www.detik.com/tag/ledakan-di-pamulang,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
nadiem makarim,https://www.detik.com/tag/nadiem-makarim,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
qatar,https://www.detik.com/tag/qatar,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
banjir bali,https://www.detik.com/tag/banjir-bali,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
nepal,https://www.detik.com/tag/nepal,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Gempa M 7,4 Guncang Timur Jauh Rusia, Peringatan Tsunami Dirilis",https://news.detik.com/internasional/d-8110004/gempa-m-7-4-guncang-timur-jauh-rusia-peringatan-tsunami-dirilis,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Rekor Lagi! Harga Emas Antam Hari Ini Tembus Level Tertinggi,https://finance.detik.com/berita-ekonomi-bisnis/d-8109974/rekor-lagi-harga-emas-antam-hari-ini-tembus-level-tertinggi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Pemuda 22 Tahun di AS Bunuh Charlie Kirk, Psikis-Kepribadiannya Jadi Sorotan",https://health.detik.com/berita-detikhealth/d-8109935/pemuda-22-tahun-di-as-bunuh-charlie-kirk-psikis-kepribadiannya-jadi-sorotan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Sherina Lelah Usai Keseret Urusan Kucing Uya Kuya,https://hot.detik.com/celeb/d-8109753/sherina-lelah-usai-keseret-urusan-kucing-uya-kuya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Herannya Ferry Irwandi saat TNI Sebut Temukan Dugaan Pidana Lain,https://news.detik.com/berita/d-8109871/herannya-ferry-irwandi-saat-tni-sebut-temukan-dugaan-pidana-lain,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Operasi Pasar Mentan & Mendagri Sukses Turunkan Harga Beras Secara Drastis,https://finance.detik.com/berita-ekonomi-bisnis/d-8102070/operasi-pasar-mentan-mendagri-sukses-turunkan-harga-beras-secara-drastis,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Permintaan Maaf Purbaya Gara-gara Respons Enteng Tuntutan 17 8,https://finance.detik.com/berita-ekonomi-bisnis/d-8104140/permintaan-maaf-purbaya-gara-gara-respons-enteng-tuntutan-17-8,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menkeu Purbaya Klarifikasi Unggahan Anaknya soal Lengserkan 'Agen CIA',https://news.detik.com/berita/d-8105957/menkeu-purbaya-klarifikasi-unggahan-anaknya-soal-lengserkan-agen-cia,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
